Event Study Results (Effect by Time Since Adoption)
============================================================
  Event Time        ATT         SE                    95% CI
------------------------------------------------------------
          43     0.8571     0.8081 [ -0.7267,   2.4410] 
          44    -1.5714     0.4041 [ -2.3634,  -0.7795] *
          45    -0.7143     0.0000 [ -0.7143,  -0.7143] 
          46    -0.7143     0.0000 [ -0.7143,  -0.7143] 
          47     0.2857     0.1010 [  0.0877,   0.4837] *
          48     1.0000     0.0000 [  1.0000,   1.0000] 
          49     1.5714     0.1010 [  1.3734,   1.7694] *
          50     1.2857     0.5051 [  0.2958,   2.2756] *
          51     0.1429     0.2020 [ -0.2531,   0.5388] 
          52     3.8571     0.1010 [  3.6592,   4.0551] *
          53     1.1429     0.2020 [  0.7469,   1.5388] *
          54    -0.2857     0.2020 [ -0.6817,   0.1103] 
          55     0.5714     0.2020 [  0.1755,   0.9674] *
          56     0.5714     0.2020 [  0.1755,   0.9674] *
          57     0.2857     0.7071 [ -1.1002,   1.6716] 
          58    -1.0000     0.3030 [ -1.5940,  -0.4060] *
          59    -0.5714     0.1010 [ -0.7694,  -0.3734] *
          60    -0.7143     0.1010 [ -0.9123,  -0.5163] *
          61     0.7143     0.1010 [  0.5163,   0.9123] *
          62     1.5714     0.1010 [  1.3734,   1.7694] *
          63     3.8571     0.2020 [  3.4612,   4.2531] *
          64     4.5714     0.7071 [  3.1855,   5.9573] *
          65     2.2857     0.3030 [  1.6918,   2.8797] *
          66     0.2857     0.1010 [  0.0877,   0.4837] *
          67     1.4286     0.2020 [  1.0326,   1.8245] *
          68    -1.2857     0.2020 [ -1.6817,  -0.8897] *
          69     0.1429     0.1010 [ -0.0551,   0.3408] 
          70     1.1429     0.2020 [  0.7469,   1.5388] *
          71     0.7143     0.6061 [ -0.4736,   1.9022] 
          72    -1.4286     0.1010 [ -1.6266,  -1.2306] *
          73    -0.7143     0.1010 [ -0.9123,  -0.5163] *
          74    -1.0000     0.2020 [ -1.3960,  -0.6040] *
          75     0.0000     0.1010 [ -0.1980,   0.1980] 
          76     1.0000     0.1010 [  0.8020,   1.1980] *
          77     1.1429     0.0000 [  1.1429,   1.1429] 
          78     0.5714     0.6061 [ -0.6165,   1.7593] 
          79    -1.1429     0.0000 [ -1.1429,  -1.1429] 
          80    -0.7143     0.1010 [ -0.9123,  -0.5163] *
          81    -1.8571     0.1010 [ -2.0551,  -1.6592] *
          82    -0.4286     0.1010 [ -0.6266,  -0.2306] *
          83     0.8571     0.1010 [  0.6592,   1.0551] *
          84     0.7143     0.0000 [  0.7143,   0.7143] 
          85     1.0000     0.6061 [ -0.1879,   2.1879] 
          86    -0.7143     0.3030 [ -1.3082,  -0.1203] *
          87    -0.5714     0.0000 [ -0.5714,  -0.5714] 
          88    -1.0000     0.1010 [ -1.1980,  -0.8020] *
          89    -0.2857     0.2020 [ -0.6817,   0.1103] 
          90     1.8571     0.1010 [  1.6592,   2.0551] *
          91     4.4286     0.3030 [  3.8346,   5.0225] *
          92     3.7143     0.0000 [  3.7143,   3.7143] 
          93     0.1429     0.2020 [ -0.2531,   0.5388] 
          94    -0.1429     0.1010 [ -0.3408,   0.0551] 
          95    -1.1429     0.1010 [ -1.3408,  -0.9449] *
          96    -0.2857     0.1010 [ -0.4837,  -0.0877] *
          97     0.4286     0.1010 [  0.2306,   0.6266] *
          98     0.7143     0.1010 [  0.5163,   0.9123] *
          99     0.8571     0.7071 [ -0.5288,   2.2430] 
         100    -1.2857     0.3030 [ -1.8797,  -0.6918] *
         101    -0.7143     0.0000 [ -0.7143,  -0.7143] 
         102     0.5714     0.1010 [  0.3734,   0.7694] *
         103     3.1429     0.1010 [  2.9449,   3.3408] *
         104     3.2857     0.0000 [  3.2857,   3.2857] 
         105     2.2857     0.0000 [  2.2857,   2.2857] 
         106     2.0000     0.7071 [  0.6141,   3.3859] *
         107    -0.8571     0.2020 [ -1.2531,  -0.4612] *
         108    -1.2857     0.0000 [ -1.2857,  -1.2857] 
         109    -1.5714     0.0000 [ -1.5714,  -1.5714] 
         110    -0.8571     0.0000 [ -0.8571,  -0.8571] 
         111    -0.1429     0.0000 [ -0.1429,  -0.1429] 
         112     1.1429     0.0000 [  1.1429,   1.1429] 
         113    -0.1429     0.5051 [ -1.1328,   0.8471] 
         114    -1.8571     0.3030 [ -2.4511,  -1.2632] *
         115    -2.0000     0.1010 [ -2.1980,  -1.8020] *
         116    -2.0000     0.0000 [ -2.0000,  -2.0000] 
         117    -0.1429     0.0000 [ -0.1429,  -0.1429] 
         118     0.4286     0.0000 [  0.4286,   0.4286] 
         119     0.2857     0.1010 [  0.0877,   0.4837] *
         120    -0.4286     0.9091 [ -2.2104,   1.3533] 
         121    -3.0000     0.8081 [ -4.5839,  -1.4161] *
         122    -2.0000     0.1010 [ -2.1980,  -1.8020] *
         123    -1.7143     0.0000 [ -1.7143,  -1.7143] 
         124    -0.1429     0.1010 [ -0.3408,   0.0551] 
         125     0.7143     0.1010 [  0.5163,   0.9123] *
         126     1.0000     0.1010 [  0.8020,   1.1980] *
         127     0.4286     0.6061 [ -0.7593,   1.6165] 
         128    -2.2857     0.3030 [ -2.8797,  -1.6918] *
         129    -1.2857     0.1010 [ -1.4837,  -1.0877] *
         130    -1.4286     0.1010 [ -1.6266,  -1.2306] *
         131     0.1429     0.0000 [  0.1429,   0.1429] 
         132     0.8571     0.1010 [  0.6592,   1.0551] *
         133     0.8571     0.1010 [  0.6592,   1.0551] *
         134    -0.5714     0.7071 [ -1.9573,   0.8145] 
